,Gas Monthly Avg,month_year,Crude_Oil_Price,M/M Change,Avg_Airfare,U.S. Average (Inflation-Adjusted $),Recession,Adj Month,Adj Year,Unemployment,UE M/M,Inflation Rate,Inflation M/M,Year,Month,Average of Wheat Value,Average of Soybean Value,date
193,1.6812,02-2016,25.52,-1.5,361.2,391.31,0,1,2016,4.9,0.0,1.0,-0.4,2016,2,4.60985,8.691775,2016-02-01
194,1.89525,03-2016,31.87,6.35,361.2,391.31,0,2,2016,5.0,0.1,0.9,-0.1,2016,3,4.664772727,9.014431818,2016-03-01
195,2.0269999999999997,04-2016,35.59,3.72,350.66,375.49,0,3,2016,5.0,0.0,1.1,0.2,2016,4,4.71902381,9.864119048,2016-04-01
196,2.1994,05-2016,41.02,5.43,350.66,375.49,0,4,2016,4.8,-0.2,1.0,-0.1,2016,5,4.699285714,10.80190476,2016-05-01
197,2.30275,06-2016,43.96,2.94,350.66,375.49,0,5,2016,4.9,0.1,1.0,0.0,2016,6,4.765386363999999,11.42154545,2016-06-01
198,2.15725,07-2016,40.71,-3.25,343.98,367.12,0,6,2016,4.8,-0.1,0.8,-0.2,2016,7,4.25025,10.315425,2016-07-01
199,2.1194,08-2016,40.46,-0.25,343.98,367.12,0,7,2016,4.9,0.1,1.1,0.3,2016,8,4.0947173910000005,9.96576087,2016-08-01
200,2.161,09-2016,40.55,0.09,343.98,367.12,0,8,2016,5.0,0.1,1.5,0.4,2016,9,4.025238095,9.615714286000001,2016-09-01
201,2.1864,10-2016,45.0,4.45,346.72,369.22,0,9,2016,4.9,-0.1,1.6,0.1,2016,10,4.087738095,9.81502381,2016-10-01
202,2.10475,11-2016,41.65,-3.35,346.72,369.22,0,10,2016,4.7,-0.2,1.7,0.1,2016,11,4.055214286,10.16059524,2016-11-01
203,2.1919999999999997,12-2016,47.12,5.47,346.72,369.22,0,11,2016,4.7,0.0,2.1,0.4,2016,12,4.063571429,10.15964286,2016-12-01
204,2.2854,01-2017,48.19,1.07,351.85,371.74,0,12,2016,4.7,0.0,2.5,0.4,2017,1,4.24125,10.42675,2017-01-01
205,2.2265,02-2017,49.41,1.22,351.85,371.74,0,1,2017,4.6,-0.1,2.7,0.2,2017,2,4.394210526,10.39115789,2017-02-01
206,2.2430000000000003,03-2017,46.39,-3.02,351.85,371.74,0,2,2017,4.4,-0.2,2.4,-0.3,2017,3,4.357391304,9.834782609,2017-03-01
207,2.34,04-2017,47.23,0.84,355.91,374.0,0,3,2017,4.4,0.0,2.2,-0.2,2017,4,4.218052632,9.545578947000001,2017-04-01
208,2.3032,05-2017,45.19,-2.04,355.91,374.0,0,4,2017,4.4,0.0,1.9,-0.3,2017,5,4.347613636,9.478636364,2017-05-01
209,2.2565,06-2017,42.17,-3.02,355.91,374.0,0,5,2017,4.3,-0.1,1.6,-0.3,2017,6,4.550977273,9.368363636,2017-06-01
210,2.2108,07-2017,43.42,1.25,335.83,351.5,0,6,2017,4.3,0.0,1.7,0.1,2017,7,5.1225,9.9225,2017-07-01
211,2.2965,08-2017,44.96,1.54,335.83,351.5,0,7,2017,4.4,0.1,1.9,0.2,2017,8,4.311108696,9.432565217,2017-08-01
212,2.57025,09-2017,47.17,2.21,335.83,351.5,0,8,2017,4.2,-0.2,2.2,0.3,2017,9,4.462625,9.6515,2017-09-01
213,2.4296,10-2017,49.12,1.95,347.33,362.2,0,9,2017,4.1,-0.1,2.0,-0.2,2017,10,4.3481818180000005,9.821068182000001,2017-10-01
214,2.474,11-2017,55.19,6.07,347.33,362.2,0,10,2017,4.2,0.1,2.2,0.2,2017,11,4.242071429,9.899047619,2017-11-01
215,2.38825,12-2017,56.98,1.79,347.33,362.2,0,11,2017,4.1,-0.1,2.1,-0.1,2017,12,4.235,9.66495,2017-12-01
216,2.4672,01-2018,62.25,5.27,346.49,358.14,0,12,2017,4.1,0.0,2.1,0.0,2018,1,4.324880952,9.776547619,2018-01-01
217,2.488,02-2018,61.18,-1.07,346.49,358.14,0,1,2018,4.1,0.0,2.2,0.1,2018,2,4.569263158,10.31052632,2018-02-01
218,2.488,03-2018,60.68,-0.5,346.49,358.14,0,2,2018,4.0,-0.1,2.4,0.2,2018,3,4.763333333,10.35571429,2018-03-01
219,2.6519999999999997,04-2018,63.5,2.82,349.17,357.08,0,3,2018,4.0,0.0,2.5,0.1,2018,4,4.751904762,10.41859524,2018-04-01
220,2.8075,05-2018,66.16,2.66,349.17,357.08,0,4,2018,3.8,-0.2,2.8,0.3,2018,5,5.170227273,10.16568182,2018-05-01
221,2.8015,06-2018,62.8,-3.36,349.17,357.08,0,5,2018,4.0,0.2,2.9,0.1,2018,6,5.013547619,8.971380952,2018-06-01
222,2.7704,07-2018,67.0,4.2,343.28,350.06,0,6,2018,3.8,-0.2,2.9,0.0,2018,7,5.085833333,8.592428571000001,2018-07-01
223,2.76775,08-2018,62.64,-4.36,343.28,350.06,0,7,2018,3.8,0.0,2.7,-0.2,2018,8,5.406282609,8.56826087,2018-08-01
224,2.7685,09-2018,63.54,0.9,343.28,350.06,0,8,2018,3.7,-0.1,2.3,-0.4,2018,9,5.164605263,8.435526316,2018-09-01
225,2.7852,10-2018,65.18,1.64,359.3,366.6,0,9,2018,3.8,0.1,2.5,0.2,2018,10,5.112173913,8.648869565,2018-10-01
226,2.5610000000000004,11-2018,55.65,-9.53,359.3,366.6,0,10,2018,3.7,-0.1,2.2,-0.3,2018,11,5.0599047619999995,8.876547619,2018-11-01
227,2.263,12-2018,47.63,-8.02,359.3,366.6,0,11,2018,3.9,0.2,1.9,-0.3,2018,12,5.2135,9.019575,2018-12-01
228,2.145,01-2019,47.85,0.22,350.12,356.05,0,12,2018,4.0,0.1,1.6,-0.3,2019,1,5.167857143,9.141666667,2019-01-01
229,2.2225,02-2019,52.51,4.66,350.12,356.05,0,1,2019,3.8,-0.2,1.5,-0.1,2019,2,5.001684211000001,9.099,2019-02-01
230,2.443,03-2019,57.47,4.96,350.12,356.05,0,2,2019,3.8,0.0,1.9,0.4,2019,3,4.565714286,8.996785714,2019-03-01
231,2.694,04-2019,63.01,5.54,357.1,358.85,0,3,2019,3.6,-0.2,2.0,0.1,2019,4,4.513880952,8.726142857000001,2019-04-01
232,2.73125,05-2019,59.68,-3.33,357.1,358.85,0,4,2019,3.6,0.0,1.8,-0.2,2019,5,4.616590909,8.426590909,2019-05-01
233,2.60125,06-2019,54.22,-5.46,357.1,358.85,0,5,2019,3.7,0.1,1.6,-0.2,2019,6,5.248825,8.912325,2019-06-01
234,2.6404,07-2019,56.47,2.25,345.09,345.83,0,6,2019,3.7,0.0,1.8,0.2,2019,7,5.036136364,8.824522727,2019-07-01
235,2.521,08-2019,53.63,-2.84,345.09,345.83,0,7,2019,3.7,0.0,1.7,-0.1,2019,8,4.759818182,8.618409091,2019-08-01
236,2.4888,09-2019,55.07,1.44,345.09,345.83,0,8,2019,3.5,-0.2,1.7,0.0,2019,9,4.794875,8.93175,2019-09-01
237,2.49725,10-2019,53.14,-1.93,356.51,356.51,0,9,2019,3.6,0.1,1.8,0.1,2019,10,5.08,9.295608696,2019-10-01
238,2.48,11-2019,54.96,1.82,356.51,356.51,0,10,2019,3.5,-0.1,2.1,0.3,2019,11,5.157025,9.007875,2019-11-01
239,2.4692,12-2019,58.41,3.45,356.51,356.51,0,11,2019,3.5,0.0,2.3,0.2,2019,12,5.384285714,9.262071429,2019-12-01
